sex,group_age,race,charlson,visits,in_group,svi_group,vax_status,year,PCR_results,count
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,1 Dose mRNA,2021,Negative,282
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,1 Dose mRNA,2021,Positive,7
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,1 Dose mRNA,2022,Negative,95
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,1 Dose mRNA,2022,Positive,14
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Booster Dose,2021,Negative,110
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Booster Dose,2021,Positive,<5
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Booster Dose,2022,Negative,83
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Booster Dose,2022,Positive,7
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Full Primary Series,2021,Negative,1205
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Full Primary Series,2021,Positive,38
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Full Primary Series,2022,Negative,357
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Full Primary Series,2022,Positive,71
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Unvaccinated,2021,Negative,2890
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Unvaccinated,2021,Positive,84
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Unvaccinated,2022,Negative,735
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,<0.5,Unvaccinated,2022,Positive,153
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,1 Dose mRNA,2021,Negative,299
FEMALE,<40 years,Non-Hispanic White,Score: 0,0 visits,Insured,0.5+,1 Dose mRNA,2021,Positive,7
